Record ID,Condition Name,Created By ID,Created Date,Currency ISO Code,Deleted,Enable Smart Approval,Filter Field,Filter Type,Filter Value,Index,Last Modified By ID,Last Modified Date,Operator,System Modstamp,Tested Field,sbaa__ApprovalRule__r.Rule Name,sbaa__FilterVariable__r.Variable Name,sbaa__TestedVariable__r.Variable Name
"a260J00000032tbQAA","AC-000134","0050J000006WjRgQAK","02/08/2017T13:13:02.000Z","USD","false","true","","Value","0","","0050J000006WjRgQAK","02/08/2017T13:13:02.000Z","greater than","03/01/2017T02:33:52.000Z","Lines_Requiring_CFO_Approval__c","CFO Mike Foley","",""
"a260J00000032tcQAA","AC-000135","0050J000006WjRgQAK","02/08/2017T13:13:02.000Z","USD","false","false","","Value","00520000005QaRk","","0050J000006WjRgQAK","02/08/2017T13:13:11.000Z","equals","03/01/2017T02:33:52.000Z","Manager_CFO__c","CFO Mike Foley","",""
"a260J00000032h5QAA","AC-000084","0050J000006WjRgQAK","01/31/2017T15:39:40.000Z","USD","false","false","","Value","0","1.0","0050J000006WjRgQAK","01/31/2017T15:39:40.000Z","greater than","02/14/2017T02:34:09.000Z","Lines_Requiring_line_Manager_Approval__c","FLM","",""
"a260J00000032ggQAA","AC-000080","0050J000006WjRgQAK","01/31/2017T15:22:56.000Z","USD","false","false","","Value","0","1.0","0050J000006WjRgQAK","01/31/2017T15:23:02.000Z","greater than","02/14/2017T02:34:09.000Z","Lines_Requiring_line_Manager_Approval__c","FLM","",""
"a260J00000032hAQAQ","AC-000085","0050J000006WjRgQAK","01/31/2017T15:40:30.000Z","USD","false","false","","Value","TRUE","1.0","0050J000006WjRgQAK","01/31/2017T15:40:30.000Z","equals","02/01/2017T02:34:34.000Z","Above_20000_USD__c","FLM","",""
"a260J000000338LQAQ","AC-000177","0050J000006WjRgQAK","02/15/2017T12:46:41.000Z","USD","false","true","","Value","0","","0050J000006WrgFQAS","02/16/2017T10:52:13.000Z","greater than","02/17/2017T02:35:01.000Z","Lines_Requiring_Regional_VP_Approval__c","RVP Blank","",""
"a260J000000338MQAQ","AC-000178","0050J000006WjRgQAK","02/15/2017T12:46:41.000Z","USD","false","false","","Value","","","0050J000006WjRgQAK","02/15/2017T12:46:41.000Z","equals","02/16/2017T02:34:02.000Z","Manager_RVP__c","RVP Blank","",""
"a2620000002GfMhAAK","AC-000007","00520000002CI2kAAG","11/02/2016T23:14:07.000Z","USD","false","true","","Value","Yes","30.0","0050J000006WjRgQAK","02/27/2017T11:13:29.000Z","equals","02/28/2017T02:32:52.000Z","Allow_Seat_Reduction__c","LGL","",""
"a260J00000032hFQAQ","AC-000086","0050J000006WjRgQAK","01/31/2017T15:41:02.000Z","USD","false","false","","Value","0","1.0","0050J000006WjRgQAK","01/31/2017T15:41:10.000Z","greater than","02/01/2017T02:34:34.000Z","Lines_Requiring_Regional_VP_Approval__c","RVP","",""
"a260J00000032hGQAQ","AC-000087","0050J000006WjRgQAK","01/31/2017T15:41:02.000Z","USD","false","false","","Value","TRUE","1.0","0050J000006WjRgQAK","01/31/2017T15:41:02.000Z","equals","01/31/2017T15:41:02.000Z","Above_20000_USD__c","RVP","",""
