Record ID,Border Color,Bottom Margin,Conditional Print Field,Created By ID,Created Date,Currency ISO Code,Deleted,Display Order,External ID,Filter Field,Filter Operator,Filter Value,Group Field,Hide Column Header,Keep Together,Keep With Next,Keep With Previous,Last Modified By ID,Last Modified Date,Page Break,Print Quote Totals,Roll-Up Field,Section Name,Summary Display,System Modstamp,Top Margin,SBQQ__Template__r.Template Name,SBQQ__Content__r.Content Name
"a1o200000048yxuAAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:50:42.000Z","USD","false","100.0","Japanese-BB-Grand Total","","","","","false","Auto","Auto","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Grand Total","","12/07/2016T08:53:57.000Z","0.15","Japanese-BB","Grand Total"
"a1o200000048yxvAAA","","0.0","Has_Seats__c","00520000002CI2kAAG","09/02/2016T18:50:42.000Z","USD","false","50.0","Japanese-BB-MDQ-Seats-BB","SBQQ__ProductFamily__c","equals","Seats","","false","Auto","Auto","","0050J000006WjRgQAK","12/08/2016T10:43:34.000Z","","false","","MDQ-Seats-BB","","03/04/2017T02:36:47.000Z","0.0","Japanese-BB","MDQ-BB"
"a1o200000048yxwAAA","","0.1","","00520000002CI2kAAG","09/02/2016T18:50:42.000Z","USD","false","20.0","Japanese-BB-Blue Line","","","","","false","Always","Always","Always","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Blue Line","","12/07/2016T08:53:57.000Z","0.1","Japanese-BB","Blue Line"
"a1o200000048yxxAAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:50:42.000Z","USD","false","30.0","Japanese-BB-Sell to Bill to Ship to","","","","","false","Auto","Auto","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Sell to Bill to Ship to","","12/07/2016T08:53:57.000Z","0.0","Japanese-BB","Sell to Bill to Ship to"
"a1o200000048yxyAAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:50:42.000Z","USD","false","300.0","Japanese-BB-Quote Terms","","","","","false","Auto","Auto","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Quote Terms","","12/07/2016T08:53:57.000Z","0.2","Japanese-BB","Terms in Japanese"
"a1o200000048yxzAAA","","0.0","Print_PDF_Notes__c","00520000002CI2kAAG","09/02/2016T18:50:42.000Z","USD","false","300.0","Japanese-BB-Notes","","","","","false","Auto","Auto","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Notes","","12/07/2016T08:53:57.000Z","0.25","Japanese-BB","SF-Notes"
"a1o200000048yy0AAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:50:42.000Z","USD","false","10.0","Japanese-BB-Top","","","","","false","Always","Always","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Top","","12/07/2016T08:53:57.000Z","0.0","Japanese-BB","Unity-Top: Japanese"
"a1o200000048yxsAAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:50:42.000Z","USD","false","40.0","Japanese-BB-Configured Products & Services","","","","","false","Auto","Auto","Auto","0050J000006WjRgQAK","12/13/2016T10:20:02.000Z","","false","","Configured Products & Services","","12/14/2016T02:32:42.000Z","0.25","Japanese-BB","Configured Products Header (Japanese)"
"a1o200000048yy1AAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:50:42.000Z","USD","false","56.0","Japanese-BB-Non MDQ","Non_MDQ_Output_Filter__c","equals","TRUE","Subscription Category","false","Auto","Auto","","0050J000006WjRgQAK","02/27/2017T13:53:48.000Z","","false","","Non MDQ","","02/27/2017T13:53:48.000Z","0.0","Japanese-BB","Line Items"
"a1o0J000002g34UQAQ","","0.0","","0050J000006WjRgQAK","03/06/2017T08:45:05.000Z","USD","false","135.0","Japanese-VAT Statement","","","","","false","Auto","Auto","Auto","0050J000006WjRgQAK","03/06/2017T08:46:00.000Z","","false","","Disclaimer - Japanese","","03/06/2017T08:46:00.000Z","0.0","Japanese","Disclaimer - Japanese"
"a1o20000000KtRsAAK","","0.0","Has_Seats__c","00520000002CI2kAAG","08/02/2016T18:07:30.000Z","USD","false","41.0","English-MDQ Seats","SBQQ__ProductFamily__c","equals","Seats","SBQQ__SegmentLabel__c","false","Auto","Auto","Always","0050J000006WjRgQAK","12/08/2016T10:42:12.000Z","","false","","MDQ Seats","","03/06/2017T02:31:09.000Z","0.0","English","MDQ-Standard"
